岗位名称,公司名称,公司性质,公司规模,所属行业,工作城市,薪资区间,经验要求,学历要求,语言要求,职能类别,岗位标签,关键字,职位信息,城市,薪资_千元月,经验_年_数值,经验_年,学历_等级,岗位标签列表,关键字列表
信息系统工程师 ,上海誉德动力技术集团股份有限公司,已上市,150-500人,建筑设计,上海-黄浦区,1-1.2万,5年及以上,本科,无要求,系统工程师,五险一金; 绩效奖金; 专业培训; 周末双休,管理; oracle; 数据库; 数据分析; sqlserver; 用户培训; 二次开发; 业务分析; 业务流程; 泛微,职责描述： 1、 负责协同管理平台业务需,上海,11.0千元/月,5.0,5.0年,3,"['五险一金', '绩效奖金', '专业培训', '周末双休']","['管理', 'oracle', '数据库', '数据分析', 'sqlserver', '用户培训', '二次开发', '业务分析', '业务流程', '泛微']"
数据运维（现场面试） ,上海汉朔信息科技有限公司,民营,500-1000人,计算机软件,上海-黄浦区,1-1.5万,3年及以上,本科,无要求,运维工程师,,计算机; mysql; oracle; 数据库; linux; sql; shell; 数学; 报表; 股票,【岗位职责】 1. 数据链路维护： 负责,上海,12.5千元/月,3.0,3.0年,3,[],"['计算机', 'mysql', 'oracle', '数据库', 'linux', 'sql', 'shell', '数学', '报表', '股票']"
信息安全工程师 ,上海航空工业（集团）有限公司,国企,500-1000人,船舶/航空/航天,上海-浦东新区,1.5-3万,8年及以上,硕士,无要求,网络安全工程师,内部培训; 绩效奖金; 年终奖金; 带薪年假; 五险一金; 专业培训; 定期体检,项目管理; 网络安全; 机器学习; 信息系统; 平台运营; 渗透测试; 安全防护; 容器; 修复; 安全漏洞,岗位职责： 1.规划信息安全体系技术防护,上海,22.5千元/月,8.0,8.0年,4,"['内部培训', '绩效奖金', '年终奖金', '带薪年假', '五险一金', '专业培训', '定期体检']","['项目管理', '网络安全', '机器学习', '信息系统', '平台运营', '渗透测试', '安全防护', '容器', '修复', '安全漏洞']"
IT技术支持（HELPDESK) ,盛美半导体设备（上海）股份有限公司,已上市,1000-5000人,电子/半导体/集成电路,上海,8千-1万·15薪,1-3年,本科,无要求,网络工程师,带薪年假; 五险一金; 免费班车; 节日福利; 加班补贴; 员工旅游; 定期体检; 年终奖金; 补充医疗保险; 做五休二; 出国机会; 股票期权; 弹性工作; 季度团建; 社团活动,办公软件; it运维; 网络设备维护; 台式电脑,工作职责： 1. 网络设备维护与调试； ,上海,9.0千元/月,2.0,2.0年,3,"['带薪年假', '五险一金', '免费班车', '节日福利', '加班补贴', '员工旅游', '定期体检', '年终奖金', '补充医疗保险', '做五休二', '出国机会', '股票期权', '弹性工作', '季度团建', '社团活动']","['办公软件', 'it运维', '网络设备维护', '台式电脑']"
系统管理岗 ,上海中盈盛元医药集团股份有限公司,民营,500-1000人,批发/零售,上海-青浦区,1.2-2万,5年及以上,本科,无要求,系统工程师,五险一金; 绩效奖金; 专业培训; 免费工作餐,销售; 培训; 计算机; mysql; oracle; 数据库; 测试; 采购; 财务; javascript,【工作内容】 1、负责集团ERP、WMS,上海,16.0千元/月,5.0,5.0年,3,"['五险一金', '绩效奖金', '专业培训', '免费工作餐']","['销售', '培训', '计算机', 'mysql', 'oracle', '数据库', '测试', '采购', '财务', 'javascript']"
信息系统 信息管理 IT管理 ,上海汇众汽车制造有限公司,国企,5000-10000人,汽车零部件,上海,8千-1.4万·15薪,1-8年,本科,英语简单沟通/读写,网络工程师,五险一金; 补充医疗保险; 年终奖金; 专业培训; 定期体检; 有餐补; 出国机会; 企业年金,IT,学 历 要 求： 本科学历及以上 专 业,上海,11.0千元/月,4.5,4.5年,3,"['五险一金', '补充医疗保险', '年终奖金', '专业培训', '定期体检', '有餐补', '出国机会', '企业年金']",['IT']
erp实施顾问 ,上海熙何跃商贸有限公司,民营,少于50人,贸易/进出口,上海-静安区,1.3-1.5万,1年及以上,本科,无要求,ERP实施顾问,五险一金; 绩效奖金; 餐饮补贴; 带薪年假; 交通补贴; 节日福利; 周末双休,财务; 需求调研; 运维; 进销存; 数据初始化; 蓝图设计; 系统操作手册; 系统切换; 用户操作培训; 供应链模块,【工作内容】 1、负责贸易进出口企业ER,上海,14.0千元/月,1.0,1.0年,3,"['五险一金', '绩效奖金', '餐饮补贴', '带薪年假', '交通补贴', '节日福利', '周末双休']","['财务', '需求调研', '运维', '进销存', '数据初始化', '蓝图设计', '系统操作手册', '系统切换', '用户操作培训', '供应链模块']"
绩效与信息管理 ,张江实验室,事业单位,1000-5000人,学术/科研,上海-浦东新区,25-35万/年,3年及以上,硕士,无要求,绩效考核专员/助理,五险一金; 补充医疗保险; 补充公积金; 免费班车; 绩效奖金; 定期体检; 商业医疗保险; 协调子女就学; 人才公寓; 餐厅、运动场,绩效管理; 薪酬福利,岗位职责： 负责建立并完善实验室绩效管理,上海,25.0千元/月,3.0,3.0年,4,"['五险一金', '补充医疗保险', '补充公积金', '免费班车', '绩效奖金', '定期体检', '商业医疗保险', '协调子女就学', '人才公寓', '餐厅、运动场']","['绩效管理', '薪酬福利']"
首席技术执行官CTO ,国中（上海）环保科技有限公司,已上市,500-1000人,人工智能,上海-闵行区,8.5-10万,10年及以上,本科,无要求,首席技术执行官CTO,,成本控制; 成本测算; 技术方案; 路线规划; 选型; 交付管理; idc; 运维体系; capex; 投资回报,岗位职责 1.技术战略与路线规划主导算力,上海,92.5千元/月,10.0,10.0年,3,[],"['成本控制', '成本测算', '技术方案', '路线规划', '选型', '交付管理', 'idc', '运维体系', 'capex', '投资回报']"
信息系统管理高级专员 ,上海吉祥航空股份有限公司,民营,5000-10000人,交通/运输/客运,上海,1-1.5万,3年及以上,本科,英语听说读写流利,系统工程师,五险一金; 定期体检; 绩效奖金; 专业培训; 餐饮补贴; 带薪年假; 节日福利; 周末双休; 培训,项目管理; 开发; ai; matlab; 人工智能; plm; 过程管理; 用户管理; 立项申报; 问题跟踪,岗位职责: 职能 1：协同参与飞行执照资,上海,12.5千元/月,3.0,3.0年,3,"['五险一金', '定期体检', '绩效奖金', '专业培训', '餐饮补贴', '带薪年假', '节日福利', '周末双休', '培训']","['项目管理', '开发', 'ai', 'matlab', '人工智能', 'plm', '过程管理', '用户管理', '立项申报', '问题跟踪']"
it运维工程师 ,上海熙何跃商贸有限公司,民营,少于50人,贸易/进出口,上海-静安区,1-1.2万,1年及以上,大专,无要求,运维工程师,五险一金; 绩效奖金; 餐饮补贴; 交通补贴; 节日福利,安装调试; 维护; 资源配置; 监控网络; it管理制度; 办公外设; 数据备份; 网络架构,【工作内容】 1、负责公司内部网络架构的,上海,11.0千元/月,1.0,1.0年,2,"['五险一金', '绩效奖金', '餐饮补贴', '交通补贴', '节日福利']","['安装调试', '维护', '资源配置', '监控网络', 'it管理制度', '办公外设', '数据备份', '网络架构']"
LIMS实验室信息管理系统管理员 ,三生国健药业（上海）股份有限公司,已上市,1000-5000人,制药/生物工程,上海-浦东新区,1.5-2万·14薪,3年及以上,本科,无要求,系统工程师,免费班车; 员工餐厅,lims系统; 运维,【岗位职责】： 1. 负责LIMS系统的,上海,17.5千元/月,3.0,3.0年,3,"['免费班车', '员工餐厅']","['lims系统', '运维']"
企业运营管理系统咨询师（信息系统方向） ,上海智能制造功能平台有限公司,国企,150-500人,机械/设备/重工,上海-浦东新区,20-40万/年,5年及以上,本科,无要求,运营经理,五险一金; 绩效奖金; 年终奖金; 专业培训; 定期体检; 节日福利; 带薪年假; 周末双休,用户运营; 数据运营; 产品运营,岗位职责：  1.对客户企业运营管理系统,上海,25.0千元/月,5.0,5.0年,3,"['五险一金', '绩效奖金', '年终奖金', '专业培训', '定期体检', '节日福利', '带薪年假', '周末双休']","['用户运营', '数据运营', '产品运营']"
财务信息系统管理岗 (MJ000553) ,国泰君安期货有限公司,国企,1000-5000人,证券/期货,上海,1.2-2万·20薪,2年及以上,硕士,无要求,系统工程师,培训,mysql; linux; 开发; 数据库开发; 财务信息系统; 财务信息化; 数据处理; python,岗位职责： 1、负责制定公司财务信息化建,上海,16.0千元/月,2.0,2.0年,4,['培训'],"['mysql', 'linux', '开发', '数据库开发', '财务信息系统', '财务信息化', '数据处理', 'python']"
（制造业信息系统）需求分析师 ,上海电气集团数字科技有限公司,国企,150-500人,计算机服务,上海-闵行区,1.8-2.2万·15薪,3年及以上,本科,无要求,需求工程师,五险一金; 补充公积金; 补充医疗保险; 有餐补; 定期体检,需求分析; 测试用例; 项目管理; 需求调研; 软件工程; 项目验收; 需求文档; pmp; 工业工程; 信息系统,岗位职责： 1、负责定制开发项目的需求调,上海,20.0千元/月,3.0,3.0年,3,"['五险一金', '补充公积金', '补充医疗保险', '有餐补', '定期体检']","['需求分析', '测试用例', '项目管理', '需求调研', '软件工程', '项目验收', '需求文档', 'pmp', '工业工程', '信息系统']"
信息系统工程师 ,上海玻璃钢研究院有限公司,民营,150-500人,船舶/航空/航天,上海-奉贤区,1-1.5万,1年及以上,本科,无要求,系统工程师,五险一金; 定期体检; 带薪年假; 交通补贴; 免费班车; 周末双休,计算机; 数据库; excel; erp; windows; 运维; oa,岗位职责： 1、负责PLM、MES、主数,上海,12.5千元/月,1.0,1.0年,3,"['五险一金', '定期体检', '带薪年假', '交通补贴', '免费班车', '周末双休']","['计算机', '数据库', 'excel', 'erp', 'windows', '运维', 'oa']"
仓库管理员 ,上海熙何跃商贸有限公司,民营,少于50人,贸易/进出口,上海-静安区,7-8千,1年及以上,大专,无要求,仓库管理员,五险一金; 定期体检; 节假日福利; 包吃包住,仓库管理; 英语读写; 供应链; wms; 仓库盘点; 叉车证; 防火防盗; 入库验收; 货物安全; 出库复核,【工作内容】 1、负责进出口货物的入库验,上海,39.0千元/月,1.0,1.0年,2,"['五险一金', '定期体检', '节假日福利', '包吃包住']","['仓库管理', '英语读写', '供应链', 'wms', '仓库盘点', '叉车证', '防火防盗', '入库验收', '货物安全', '出库复核']"
信息系统部—PAAS支撑专家 ,东方有线网络有限公司,国企,1000-5000人,运营商/增值服务,上海-浦东新区,28-34万/年,5年及以上,本科,无要求,系统工程师,五险一金; 年终奖金; 专业培训; 餐饮补贴; 补充医疗保险; 补充公积金; 做五休二; 培训,培训; 计算机; mysql; 办公软件; 数据库; 电子; 财务管理; 通信; 网络; 中间件,岗位职责 1、负责公司信息系统相关PAA,上海,25.8千元/月,5.0,5.0年,3,"['五险一金', '年终奖金', '专业培训', '餐饮补贴', '补充医疗保险', '补充公积金', '做五休二', '培训']","['培训', '计算机', 'mysql', '办公软件', '数据库', '电子', '财务管理', '通信', '网络', '中间件']"
信息系统设计及调试工程师 ,中邮科技股份有限公司,国企,1000-5000人,货运/物流/仓储,上海-普陀区,2-2.5万,2年及以上,本科,无要求,软件工程师,五险一金; 年终奖金; 定期体检; 绩效奖金,架构设计经验; C++; C#; Java; Oracle; MySQL; SQL Server,岗位职责： 1.负责物流分拣、传输项目I,上海,22.5千元/月,2.0,2.0年,3,"['五险一金', '年终奖金', '定期体检', '绩效奖金']","['架构设计经验', 'C++', 'C#', 'Java', 'Oracle', 'MySQL', 'SQL Server']"
信息系统运维与开发 ,智慧星空（上海）工程技术有限公司,民营,50-150人,电子/半导体/集成电路,上海-闵行区,1.5-2.5万·15薪,5年及以上,本科,无要求,运维开发,培训; 五险一金; 补充医疗保险; 员工旅游; 通讯补贴; 专业培训; 年终奖金; 绩效奖金; 弹性工作; 定期体检,java; 数据库; 需求分析; sql; c#; 软件工程; mes; 编程语言; 设备管理,岗位职责： 1.负责公司MES/WMS系,上海,20.0千元/月,5.0,5.0年,3,"['培训', '五险一金', '补充医疗保险', '员工旅游', '通讯补贴', '专业培训', '年终奖金', '绩效奖金', '弹性工作', '定期体检']","['java', '数据库', '需求分析', 'sql', 'c#', '软件工程', 'mes', '编程语言', '设备管理']"
信息系统运维工程师 ,中国航空无线电电子研究所,国企,1000-5000人,电子/半导体/集成电路,上海-闵行区,1-2万,无需经验,硕士,无要求,运维工程师,五险一金; 年终奖金; 定期体检; 餐饮补贴; 交通补贴; 补充公积金,mysql; oracle; 测试; erp; 审计; it; 中间件; apache; 运行维护; oa办公系统,岗位描述： 1、负责企业科研、生产、管理,上海,15.0千元/月,0.0,0.0年,4,"['五险一金', '年终奖金', '定期体检', '餐饮补贴', '交通补贴', '补充公积金']","['mysql', 'oracle', '测试', 'erp', '审计', 'it', '中间件', 'apache', '运行维护', 'oa办公系统']"
信息系统部—MSS系统云原生实施运维 ,东方有线网络有限公司,国企,1000-5000人,运营商/增值服务,上海-浦东新区,17-23万/年,5年及以上,本科,无要求,运维工程师,五险一金; 年终奖金; 定期体检; 绩效奖金; 补充医疗保险; 节日福利; 补充公积金; 高温补贴; 培训,计算机; 办公软件; 数据库; 电子; 通信; 网络; 运维; 软件; docker; 操作系统,岗位职责 1、负责公司MSS信息化相关系,上海,16.7千元/月,5.0,5.0年,3,"['五险一金', '年终奖金', '定期体检', '绩效奖金', '补充医疗保险', '节日福利', '补充公积金', '高温补贴', '培训']","['计算机', '办公软件', '数据库', '电子', '通信', '网络', '运维', '软件', 'docker', '操作系统']"
信息管理部主管/经理 ,上海天承化学有限公司,民营,150-500人,化工,上海-金山区,1.4-2万,5-10年,本科,无要求,ERP实施顾问,五险一金; 年终奖金; 绩效奖金; 定期体检; 餐饮补贴; 节日福利; 周末双休; 系统培训,金蝶云星空; ERP; 熟悉Java; 数据库; 系统集成,岗位职责 1.系统整体管控与运维管理 统,上海,17.0千元/月,7.5,7.5年,3,"['五险一金', '年终奖金', '绩效奖金', '定期体检', '餐饮补贴', '节日福利', '周末双休', '系统培训']","['金蝶云星空', 'ERP', '熟悉Java', '数据库', '系统集成']"
信息系统开发工程师 ,上海格思航天科技有限公司,国企,船舶/航空/航天,,上海-松江区,2-3万,3年及以上,本科,无要求,系统工程师,五险一金; 年终奖金; 餐饮补贴; 交通补贴; 补充医疗保险; 节日福利; 补充公积金,计算机; java; mysql; javascript; 需求分析; redis; erp; vue; html5; 前端开发,岗位职责： 1. 负责PLM/ERP/O,上海,25.0千元/月,3.0,3.0年,3,"['五险一金', '年终奖金', '餐饮补贴', '交通补贴', '补充医疗保险', '节日福利', '补充公积金']","['计算机', 'java', 'mysql', 'javascript', '需求分析', 'redis', 'erp', 'vue', 'html5', '前端开发']"
信息系统工程师（财务/供应链模块） ,浙江上扬控股集团有限公司,民营,500-1000人,其他行业,上海-徐汇区,1.5-2万,3年及以上,本科,无要求,ERP实施顾问,培训,销售; 培训; mysql; 数据库; 采购; 财务; erp; sqlserver; 成本核算; 运维,岗位职责： 1、作为ERP内部供应链/财,上海,17.5千元/月,3.0,3.0年,3,['培训'],"['销售', '培训', 'mysql', '数据库', '采购', '财务', 'erp', 'sqlserver', '成本核算', '运维']"
信息管理员 ,上海科迪威贸易商行,民营,少于50人,人工智能,上海-杨浦区,8千-1.2万,3年及以上,本科,英语良好,网络工程师,五险一金; 专业培训,计算机; 数据库; 项目管理; 二次开发; 故障处理; 数据管理; 信息化建设; 运营维护; 应用软件; 团队合作,岗位职责: 1.根据公司发展战略，组织制,上海,10.0千元/月,3.0,3.0年,3,"['五险一金', '专业培训']","['计算机', '数据库', '项目管理', '二次开发', '故障处理', '数据管理', '信息化建设', '运营维护', '应用软件', '团队合作']"
网络与信息安全管理岗 ,上海市信产通信服务有限公司,国企,5000-10000人,通信/电信/网络设备,上海-长宁区,1-2万,3年及以上,本科,无要求,网络安全工程师,,运营; 安全管理; 网络; 运营管理; 安全检查; 技术措施; 渗透测试; 数据安全; 安全产品; 应急处置,负责网络安全制度建设、技术体系规划、建设,上海,15.0千元/月,3.0,3.0年,3,[],"['运营', '安全管理', '网络', '运营管理', '安全检查', '技术措施', '渗透测试', '数据安全', '安全产品', '应急处置']"
网络与信息安全副经理 - IT ,上海东袤置业有限公司,合资,50-150人,房地产,上海-浦东新区,2-2.5万·13薪,8年及以上,本科,英语读写熟练,网络安全工程师,五险一金; 补充医疗保险; 带薪年假; 带薪病假; 年终奖金; 定期体检; 零食下午茶; 免费班车; 通讯补贴; 专业培训,计算机; 维护; 防火墙; 网络系统; 网络交换机; 个人电脑; firewall; 网络安全; 信息安全,——本职位将服务于上海前滩综合发展项目 ,上海,22.5千元/月,8.0,8.0年,3,"['五险一金', '补充医疗保险', '带薪年假', '带薪病假', '年终奖金', '定期体检', '零食下午茶', '免费班车', '通讯补贴', '专业培训']","['计算机', '维护', '防火墙', '网络系统', '网络交换机', '个人电脑', 'firewall', '网络安全', '信息安全']"
项目经理（娱乐信息系统） (MJ013649) ,特斯拉（上海）有限公司,外资（欧美）,10000人以上,汽车研发/制造,上海-浦东新区,2-3万·16薪,3年及以上,本科,英语简单沟通/读写,项目经理,培训,汽车研发/制造; 检测/认证,职位介绍 Tesla的项目遍布全球，要求,上海,25.0千元/月,3.0,3.0年,3,['培训'],"['汽车研发/制造', '检测/认证']"
信息管理专员 ,上海恩可埃认证有限公司,合资,500-1000人,检测/认证,上海-浦东新区,7千-1万,3年及以上,大专,无要求,网络工程师,五险一金; 年终奖金; 定期体检; 带薪年假; 周末双休,计算机; 办公软件; 管理; erp; 行政; 维修; 电脑; 网络; oa; it,岗位职责： 1、负责公司邮件系统、OA系,上海,8.5千元/月,3.0,3.0年,2,"['五险一金', '年终奖金', '定期体检', '带薪年假', '周末双休']","['计算机', '办公软件', '管理', 'erp', '行政', '维修', '电脑', '网络', 'oa', 'it']"
信息管理员（IT综合岗） ,杭州海德世拉索系统有限公司,合资,150-500人,汽车零部件,上海-金山区,6千-1万·13薪,无需经验,本科,无要求,IT技术支持,五险一金; 年终奖金; 绩效奖金; 专业培训; 定期体检; 餐饮补贴; 带薪年假; 通讯补贴; 节日福利; 周末双休; 做五休二; 双休; 培训; 节假日福利,行政; 人员招聘; 后勤; 计算机软硬件; 网络管理; 总务; 系统维护; it技术支持; 数据备份; 故障处理,【工作内容】 - 负责公司内部的IT技术,上海,8.0千元/月,0.0,0.0年,3,"['五险一金', '年终奖金', '绩效奖金', '专业培训', '定期体检', '餐饮补贴', '带薪年假', '通讯补贴', '节日福利', '周末双休', '做五休二', '双休', '培训', '节假日福利']","['行政', '人员招聘', '后勤', '计算机软硬件', '网络管理', '总务', '系统维护', 'it技术支持', '数据备份', '故障处理']"
基础架构与信息安全专家(J11398) ,华峰集团有限公司,民营,10000人以上,物业服务,上海-闵行区,3-6万,8年及以上,本科,无要求,网络安全工程师,,安全控制; 网络; 团队管理; 运维管理,工作职责: 1、负责公司整体网络安全威胁,上海,45.0千元/月,8.0,8.0年,3,[],"['安全控制', '网络', '团队管理', '运维管理']"
数据信息管理员 ,上海华悦包装制品有限公司,合资,500-1000人,印刷/包装/造纸,上海-奉贤区,5.5-7千,3年及以上,大专,无要求,DBA,,归档; 统计分析; 数据支持; 数据管理; 报表编制; 数据查询; 录入; 数据更新; 报告; 系统操作,- 负责集团公司对各生产工厂各类投入产出,上海,31.0千元/月,3.0,3.0年,2,[],"['归档', '统计分析', '数据支持', '数据管理', '报表编制', '数据查询', '录入', '数据更新', '报告', '系统操作']"
信息技术部系统管理员 ,泰信基金管理有限公司,国企,50-150人,投资/融资,上海,2-3万,3年及以上,硕士,无要求,网络工程师,,项目管理; 基金; 客服; 报表; 故障处理; 信息系统; 运行维护; 网站; 估值; 办公,岗位职责： 1、负责投资交易、注册登记、,上海,25.0千元/月,3.0,3.0年,4,[],"['项目管理', '基金', '客服', '报表', '故障处理', '信息系统', '运行维护', '网站', '估值', '办公']"
信息系统工程师 ,,,,,上海-青浦区,6-8千,1年及以上,大专,英语简单沟通/读写,系统工程师,培训,培训; 计算机; 数据库; 电子; sql; 调试; 售后服务; 通信; 项目实施; 驾照,职责描述 1. 负责公司医疗信息系统的安,上海,34.0千元/月,1.0,1.0年,2,['培训'],"['培训', '计算机', '数据库', '电子', 'sql', '调试', '售后服务', '通信', '项目实施', '驾照']"
计算机信息系统技术员 ,上海蔡同德药业有限公司,国企,500-1000人,批发/零售,上海-黄浦区,8-10万/年,无需经验,本科,无要求,网络工程师,餐饮补贴; 绩效奖金; 年终奖金; 专业培训; 定期体检; 五险一金,计算机; 网络; 维护; 计算机设备; 管理维护; 网站; 编程,一、岗位职责: 1、负责公司网络、网站等,上海,7.5千元/月,0.0,0.0年,3,"['餐饮补贴', '绩效奖金', '年终奖金', '专业培训', '定期体检', '五险一金']","['计算机', '网络', '维护', '计算机设备', '管理维护', '网站', '编程']"
